2023-06-10 00:35:36 [File Watcher] INFO  : Restarting due to 25 class path changes (5 additions, 0 deletions, 20 modifications)
2023-06-10 00:35:36 [Thread-56] INFO  : Stopping service [Tomcat]
2023-06-10 00:35:36 [Thread-56] INFO  : Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-06-10 00:35:36 [Thread-56] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-06-10 00:35:36 [Thread-56] INFO  : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2023-06-10 00:35:36 [Thread-56] INFO  : HikariPool-15 - Shutdown initiated...
2023-06-10 00:35:36 [Thread-56] INFO  : HikariPool-15 - Shutdown completed.
2023-06-10 00:35:36 [restartedMain] INFO  : Starting ServiceApplication using Java 18.0.1.1 with PID 19916 (D:\Programming\PERSONAL_PROJECT\BE\SERVICE\service\target\classes started by 62851 in D:\Programming\PERSONAL_PROJECT\BE\SERVICE\service)
2023-06-10 00:35:36 [restartedMain] INFO  : No active profile set, falling back to 1 default profile: "default"
2023-06-10 00:35:37 [restartedMain] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-10 00:35:37 [restartedMain] INFO  : Finished Spring Data repository scanning in 53 ms. Found 8 JPA repository interfaces.
2023-06-10 00:35:37 [restartedMain] INFO  : Tomcat initialized with port(s): 1707 (http)
2023-06-10 00:35:37 [restartedMain] INFO  : Starting service [Tomcat]
2023-06-10 00:35:37 [restartedMain] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-06-10 00:35:37 [restartedMain] INFO  : Initializing Spring embedded WebApplicationContext
2023-06-10 00:35:37 [restartedMain] INFO  : Root WebApplicationContext: initialization completed in 839 ms
2023-06-10 00:35:37 [restartedMain] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-10 00:35:37 [restartedMain] INFO  : HHH000021: Bytecode provider name : bytebuddy
2023-06-10 00:35:37 [restartedMain] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-06-10 00:35:37 [restartedMain] INFO  : HHH035001: Using dialect: org.hibernate.dialect.PostgreSQLDialect, version: 10.0
2023-06-10 00:35:37 [restartedMain] INFO  : HHH000021: Bytecode provider name : bytebuddy
2023-06-10 00:35:38 [restartedMain] INFO  : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-06-10 00:35:38 [restartedMain] INFO  : HikariPool-16 - Starting...
2023-06-10 00:35:38 [restartedMain] INFO  : HikariPool-16 - Added connection org.postgresql.jdbc.PgConnection@ef92a35
2023-06-10 00:35:38 [restartedMain] INFO  : HikariPool-16 - Start completed.
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : relation "m_workflow_group" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : relation "m_workflow_group" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : relation "m_workflow_group_condition" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : table "m_group" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
2023-06-10 00:35:38 [restartedMain] WARN  : table "m_roles" does not exist, skipping
2023-06-10 00:35:38 [restartedMain] WARN  : SQL Warning Code: 0, SQLState: 00000
